numero_clientes,msgs_por_cliente,tempo_todos_clientes,tempo_medio_por_cliente,tempo_medio_por_msg,Throughput_medio,tempo_resposta_servidor
41,5,3.7691440582275373,0.09193034288359847,0.018386068576719657,65.32359178103832,0.012467678000287263
42,5,3.876309394836424,0.09229308082943867,0.0184586161658877,64.87914620682707,0.012541177726927208
43,5,3.980475187301634,0.09256919040236358,0.01851383808047268,64.48661729121277,0.012502738209657843
44,5,4.08815550804138,0.09291262518275864,0.01858252503655169,64.07632462205336,0.012549394910985723
45,5,4.204580783843992,0.09343512852986649,0.018687025705973262,63.606761872788596,0.012552000416649663
46,5,4.305454492568968,0.09359683679497756,0.018719367358995476,63.301548123663096,0.012581610161325155
47,5,4.417052507400511,0.0939798405829896,0.01879596811659788,62.9079761287383,0.012715430969887542
48,5,4.507579088211058,0.09390789767106371,0.018781579534212705,62.74806821862856,0.012749813497066447
49,5,4.5545942783355695,0.09295090363950143,0.018590180727900245,63.63787514226523,0.01255914629722123
50,5,4.602306604385374,0.09204613208770748,0.018409226417541457,64.46101210274192,0.01239124298095698
51,5,4.6563491821289045,0.09130096435546871,0.018260192871093702,65.01118133615532,0.012234217980328678
52,5,4.709181785583494,0.09056118818429797,0.018112237636859554,65.58093806779526,0.012110462555518465
53,5,4.762054204940794,0.08985007933850556,0.01797001586770107,66.12784986367659,0.01195796030872268
54,5,4.818486452102659,0.08923123059449369,0.017846246118898696,66.5440345597451,0.011806149173665879
55,5,4.8920319080352765,0.08894603469155048,0.017789206938310057,66.57023694212053,0.011738504062999328
56,5,4.961402177810666,0.08859646746090476,0.017719293492180915,66.66857175614263,0.011649487274033631
57,5,5.019682645797727,0.08806460782101275,0.017612921564202518,67.00407112654122,0.011569121427703274
58,5,5.082472324371336,0.08762883317881615,0.01752576663576319,67.22177545279689,0.011488948402733588
59,5,5.138776540756223,0.08709790747044445,0.017419581494088857,67.58756393855171,0.01141324184708671
60,5,5.230504035949705,0.08717506726582842,0.017435013453165647,67.36959259059653,0.011441122492154388
61,5,5.322278022766111,0.08725045938960838,0.017450091877921636,67.15831515958992,0.011451228720242809
62,5,5.397272825241085,0.08705278750388848,0.017410557500777663,67.15045986684012,0.011461628060187011
63,5,5.4921176433563215,0.08717647052946542,0.017435294105893045,66.92136832859514,0.01149066856929229
64,5,5.595926046371456,0.087436344474554,0.017487268894910764,66.62831034911862,0.011483021080493875
65,5,5.6832017898559535,0.08743387369009159,0.017486774738018282,66.48463921592544,0.011529333774860038
66,5,5.763897180557247,0.08733177546298859,0.017466355092597686,66.41610540456105,0.011541476755431154
67,5,5.848134994506832,0.0872855969329378,0.017457119386587523,66.31072720925152,0.011573361816690877
68,5,5.946984529495236,0.08745565484551818,0.017491130969103597,66.07942132936047,0.011609161601347033
69,5,6.048755168914792,0.08766311839006945,0.017532623678013847,65.83377875033884,0.011657939440962148
70,5,6.143505096435543,0.08776435852050776,0.017552871704101514,65.64716032413014,0.011685247932161554
71,5,6.2286920547485325,0.08772805710913426,0.017545611421826812,65.54923455126354,0.01170318815070134
72,5,6.32472729682922,0.08784343467818362,0.017568686935636686,65.36194268662611,0.011737073461214652
73,5,6.417119741439816,0.08790574988273721,0.017581149976547403,65.20790209044019,0.011727004018548369
74,5,6.497363567352291,0.08780221036962556,0.017560442073925077,65.16874246514597,0.011721056055378222
75,5,6.583902120590206,0.08778536160786941,0.017557072321573844,65.07019545300145,0.011733156840006462
76,5,6.660864114761349,0.0876429488784388,0.017528589775687723,65.06883934907152,0.011703850407349387
77,5,6.737610578536985,0.0875014360848959,0.01750028721697914,65.06988794901169,0.011699777144890278
78,5,6.8159744739532435,0.08738428812760568,0.0174768576255211,65.0536700712509,0.011693352308028733
79,5,6.870230913162229,0.08696494826787632,0.01739298965357522,65.3967243776352,0.011563298822958208
80,5,6.916927099227902,0.08646158874034877,0.017292317748069712,65.91770439612085,0.011459080874919843
81,5,6.97285437583923,0.0860846219239411,0.017216924384788185,66.20763167934601,0.011395584653924965
82,5,7.03015828132629,0.08573363757714988,0.01714672751542994,66.46429577823986,0.011336509774370843
83,5,7.079298019409176,0.0852927472217973,0.017058549444359423,66.88943250480236,0.011265319513987298
84,5,7.147264957427975,0.08508648758842827,0.017017297517685617,66.96890568411912,0.01125364715144743
85,5,7.218425750732418,0.08492265589096963,0.016984531178193884,67.00766455910552,0.01121857096167167
86,5,7.287542343139645,0.08473886445511215,0.01694777289102239,67.0696862430235,0.011205014101294535
87,5,7.368559837341305,0.08469609008438282,0.016939218016876527,67.00813888365148,0.011206910527985624
88,5,7.428021907806393,0.08440933986143628,0.016881867972287218,67.20221931249817,0.011167482218959066
89,5,7.494613409042355,0.0842091394274422,0.016841827885488398,67.29078602312453,0.011156003796652412
90,5,7.564100503921505,0.0840455611546834,0.01680911223093664,67.34261959143471,0.011140735944112093
91,5,7.658223152160641,0.08415629837539165,0.01683125967507829,67.18635099392597,0.011147854747352968
92,5,7.734583377838131,0.0840715584547623,0.01681431169095242,67.16779408115316,0.011143689570219573
93,5,7.807221412658688,0.083948617340416,0.01678972346808316,67.18571523452307,0.011122956070848643
94,5,7.892123222351071,0.08395875768458586,0.016791751536917133,67.09747953808193,0.01111335576848776
95,5,7.976243495941159,0.0839604578520122,0.0167920915704024,67.01686084291168,0.011105046774211636
96,5,8.074218273162838,0.08410644034544623,0.016821288069089207,66.85036794804932,0.01109733556707695
97,5,8.162049055099484,0.0841448356195823,0.016828967123916422,66.7480718851663,0.011105818232310136
98,5,8.279150247573849,0.08448112497524336,0.01689622499504863,66.50266414590988,0.011114893519148485
99,5,8.377848148345944,0.08462472877117115,0.01692494575423419,66.34263358650898,0.011141511526974715
100,5,8.4891664981842,0.084891664981842,0.01697833299636836,66.12836949633518,0.01118480443954463
1,5,0.0139000415802001,0.0139000415802001,0.00278000831604,359.71115418260405,0.0013644695281982
2,5,0.14621782302856431,0.07310891151428216,0.0146217823028564,198.7494851710381,0.007369786500930751
3,5,0.23021554946899392,0.07673851648966463,0.0153477032979329,152.3414636639849,0.008505145708719833
4,5,0.3374557495117185,0.08436393737792962,0.0168727874755859,125.91217447576426,0.010282278060913025
5,5,0.43878316879272433,0.08775663375854487,0.01755132675170894,110.59873661118567,0.010416734218597361
6,5,0.5455362796783444,0.09092271327972407,0.018184542655944783,99.97178760583624,0.010457952817281034
7,5,0.6309494972229001,0.09013564246041429,0.01802712849208283,94.0528106859512,0.010214405400412371
8,5,0.7610795497894283,0.09513494372367853,0.019026988744735678,87.09909682833595,0.01142955571413035
9,5,0.8662097454071039,0.096245527267456,0.019249105453491167,82.70587219306498,0.0113645990689595
10,5,0.9907774925231928,0.09907774925231928,0.01981554985046382,78.44916506371496,0.011791580915451001
11,5,1.1149260997772212,0.10135691816156557,0.020271383632313074,74.97872406435822,0.012355018745769098
12,5,1.2364163398742671,0.10303469498952227,0.020606938997904407,72.1601278370216,0.012747416893641101
13,5,1.3609995841979976,0.10469227570753828,0.020938455141507606,69.6965647678775,0.013647712194002539
14,5,1.4805099964141841,0.10575071402958458,0.02115014280591687,67.70662148671421,0.014080950192042706
15,5,1.6002221107482906,0.10668147404988604,0.021336294809977157,65.97730454450013,0.014641972382863315
16,5,1.7227537631988517,0.10767211019992823,0.021534422039985603,64.40408443749757,0.015036419034004163
17,5,1.8366184234619134,0.10803637785070079,0.021607275570140114,63.19865481055458,0.015586856533499276
18,5,1.8849160671234124,0.10471755928463403,0.020943511856926764,65.43899172328976,0.01504142747984987
19,5,1.9367306232452388,0.10193319069711783,0.020386638139423523,67.07367531644239,0.01454793779473551
20,5,2.0059752464294425,0.10029876232147213,0.020059752464294388,67.33038017725706,0.014204984903335525
21,5,2.071276187896728,0.09863219942365371,0.019726439884730704,67.77029419141674,0.013814946015675813
22,5,2.126262187957763,0.09664828127080739,0.019329656254161443,68.82310978252646,0.01346540180119596
23,5,2.1954686641693106,0.09545515931170916,0.019091031862341793,68.97199952396726,0.013209104537963817
24,5,2.254130840301513,0.09392211834589637,0.018784423669179238,69.64957441025702,0.012835703790187787
25,5,2.31617784500122,0.0926471138000488,0.018529422760009726,70.08695412424498,0.012601120471954297
26,5,2.4107961654663077,0.09272292944101183,0.01854458588820233,69.42375930200866,0.012558485452945365
27,5,2.476020336151122,0.091704456894486,0.01834089137889716,69.6917199929212,0.012354162004258847
28,5,2.5440988540649405,0.09086067335946216,0.018172134671892392,69.82575167524831,0.012167004602295958
29,5,2.6103613376617423,0.09001245991937043,0.018002491983874044,70.0199491876827,0.012038226785330886
30,5,2.683685302734374,0.08945617675781246,0.01789123535156245,69.95896852990721,0.011974209547042798
31,5,2.762803316116332,0.08912268761665587,0.017824537523331137,69.7408319132875,0.011970337360135919
32,5,2.8411717414855944,0.08878661692142482,0.01775732338428493,69.5552185832085,0.01195222884416575
33,5,2.920814752578734,0.08850953795693134,0.01770190759138623,69.3499134050436,0.011914359800743282
34,5,2.9988262653350817,0.08820077250985535,0.01764015450197103,69.19530136360947,0.011850167723262958
35,5,3.1096000671386705,0.08884571620396202,0.017769143240792363,68.5079220746954,0.01197620970862247
36,5,3.2087731361389147,0.08913258711496985,0.017826517422993935,68.00539404715961,0.012079291873507978
37,5,3.3376834392547594,0.0902076605203989,0.018041532104079744,67.21569851194012,0.012216079879451391
38,5,3.423249483108519,0.09008551271338208,0.01801710254267638,66.9846115758352,0.012178192013188361
39,5,3.5173556804656965,0.09018860719142811,0.018037721438285588,66.62940265353667,0.01222730294252048
40,5,3.650826930999754,0.09127067327499386,0.018254134654998734,65.90019885891286,0.012381717562675424
41,5,3.7691440582275373,0.09193034288359847,0.018386068576719657,65.32359178103832,0.012467678000287263
42,5,3.876309394836424,0.09229308082943867,0.0184586161658877,64.87914620682707,0.012541177726927208
43,5,3.980475187301634,0.09256919040236358,0.01851383808047268,64.48661729121277,0.012502738209657843
44,5,4.08815550804138,0.09291262518275864,0.01858252503655169,64.07632462205336,0.012549394910985723
45,5,4.204580783843992,0.09343512852986649,0.018687025705973262,63.606761872788596,0.012552000416649663
46,5,4.305454492568968,0.09359683679497756,0.018719367358995476,63.301548123663096,0.012581610161325155
47,5,4.417052507400511,0.0939798405829896,0.01879596811659788,62.9079761287383,0.012715430969887542
48,5,4.507579088211058,0.09390789767106371,0.018781579534212705,62.74806821862856,0.012749813497066447
49,5,4.5545942783355695,0.09295090363950143,0.018590180727900245,63.63787514226523,0.01255914629722123
50,5,4.602306604385374,0.09204613208770748,0.018409226417541457,64.46101210274192,0.01239124298095698
51,5,4.6563491821289045,0.09130096435546871,0.018260192871093702,65.01118133615532,0.012234217980328678
52,5,4.709181785583494,0.09056118818429797,0.018112237636859554,65.58093806779526,0.012110462555518465
53,5,4.762054204940794,0.08985007933850556,0.01797001586770107,66.12784986367659,0.01195796030872268
54,5,4.818486452102659,0.08923123059449369,0.017846246118898696,66.5440345597451,0.011806149173665879
55,5,4.8920319080352765,0.08894603469155048,0.017789206938310057,66.57023694212053,0.011738504062999328
56,5,4.961402177810666,0.08859646746090476,0.017719293492180915,66.66857175614263,0.011649487274033631
57,5,5.019682645797727,0.08806460782101275,0.017612921564202518,67.00407112654122,0.011569121427703274
58,5,5.082472324371336,0.08762883317881615,0.01752576663576319,67.22177545279689,0.011488948402733588
59,5,5.138776540756223,0.08709790747044445,0.017419581494088857,67.58756393855171,0.01141324184708671
60,5,5.230504035949705,0.08717506726582842,0.017435013453165647,67.36959259059653,0.011441122492154388
61,5,5.322278022766111,0.08725045938960838,0.017450091877921636,67.15831515958992,0.011451228720242809
62,5,5.397272825241085,0.08705278750388848,0.017410557500777663,67.15045986684012,0.011461628060187011
63,5,5.4921176433563215,0.08717647052946542,0.017435294105893045,66.92136832859514,0.01149066856929229
64,5,5.595926046371456,0.087436344474554,0.017487268894910764,66.62831034911862,0.011483021080493875
65,5,5.6832017898559535,0.08743387369009159,0.017486774738018282,66.48463921592544,0.011529333774860038
66,5,5.763897180557247,0.08733177546298859,0.017466355092597686,66.41610540456105,0.011541476755431154
67,5,5.848134994506832,0.0872855969329378,0.017457119386587523,66.31072720925152,0.011573361816690877
68,5,5.946984529495236,0.08745565484551818,0.017491130969103597,66.07942132936047,0.011609161601347033
69,5,6.048755168914792,0.08766311839006945,0.017532623678013847,65.83377875033884,0.011657939440962148
70,5,6.143505096435543,0.08776435852050776,0.017552871704101514,65.64716032413014,0.011685247932161554
71,5,6.2286920547485325,0.08772805710913426,0.017545611421826812,65.54923455126354,0.01170318815070134
72,5,6.32472729682922,0.08784343467818362,0.017568686935636686,65.36194268662611,0.011737073461214652
73,5,6.417119741439816,0.08790574988273721,0.017581149976547403,65.20790209044019,0.011727004018548369
74,5,6.497363567352291,0.08780221036962556,0.017560442073925077,65.16874246514597,0.011721056055378222
75,5,6.583902120590206,0.08778536160786941,0.017557072321573844,65.07019545300145,0.011733156840006462
76,5,6.660864114761349,0.0876429488784388,0.017528589775687723,65.06883934907152,0.011703850407349387
77,5,6.737610578536985,0.0875014360848959,0.01750028721697914,65.06988794901169,0.011699777144890278
78,5,6.8159744739532435,0.08738428812760568,0.0174768576255211,65.0536700712509,0.011693352308028733
79,5,6.870230913162229,0.08696494826787632,0.01739298965357522,65.3967243776352,0.011563298822958208
80,5,6.916927099227902,0.08646158874034877,0.017292317748069712,65.91770439612085,0.011459080874919843
81,5,6.97285437583923,0.0860846219239411,0.017216924384788185,66.20763167934601,0.011395584653924965
82,5,7.03015828132629,0.08573363757714988,0.01714672751542994,66.46429577823986,0.011336509774370843
83,5,7.079298019409176,0.0852927472217973,0.017058549444359423,66.88943250480236,0.011265319513987298
84,5,7.147264957427975,0.08508648758842827,0.017017297517685617,66.96890568411912,0.01125364715144743
85,5,7.218425750732418,0.08492265589096963,0.016984531178193884,67.00766455910552,0.01121857096167167
86,5,7.287542343139645,0.08473886445511215,0.01694777289102239,67.0696862430235,0.011205014101294535
87,5,7.368559837341305,0.08469609008438282,0.016939218016876527,67.00813888365148,0.011206910527985624
88,5,7.428021907806393,0.08440933986143628,0.016881867972287218,67.20221931249817,0.011167482218959066
89,5,7.494613409042355,0.0842091394274422,0.016841827885488398,67.29078602312453,0.011156003796652412
90,5,7.564100503921505,0.0840455611546834,0.01680911223093664,67.34261959143471,0.011140735944112093
91,5,7.658223152160641,0.08415629837539165,0.01683125967507829,67.18635099392597,0.011147854747352968
92,5,7.734583377838131,0.0840715584547623,0.01681431169095242,67.16779408115316,0.011143689570219573
93,5,7.807221412658688,0.083948617340416,0.01678972346808316,67.18571523452307,0.011122956070848643
94,5,7.892123222351071,0.08395875768458586,0.016791751536917133,67.09747953808193,0.01111335576848776
95,5,7.976243495941159,0.0839604578520122,0.0167920915704024,67.01686084291168,0.011105046774211636
96,5,8.074218273162838,0.08410644034544623,0.016821288069089207,66.85036794804932,0.01109733556707695
97,5,8.162049055099484,0.0841448356195823,0.016828967123916422,66.7480718851663,0.011105818232310136
98,5,8.279150247573849,0.08448112497524336,0.01689622499504863,66.50266414590988,0.011114893519148485
99,5,8.377848148345944,0.08462472877117115,0.01692494575423419,66.34263358650898,0.011141511526974715
100,5,8.4891664981842,0.084891664981842,0.01697833299636836,66.12836949633518,0.01118480443954463
1,5,0.0139000415802001,0.0139000415802001,0.00278000831604,359.71115418260405,0.0013644695281982
2,5,0.14621782302856431,0.07310891151428216,0.0146217823028564,198.7494851710381,0.007369786500930751
3,5,0.23021554946899392,0.07673851648966463,0.0153477032979329,152.3414636639849,0.008505145708719833
4,5,0.3374557495117185,0.08436393737792962,0.0168727874755859,125.91217447576426,0.010282278060913025
5,5,0.43878316879272433,0.08775663375854487,0.01755132675170894,110.59873661118567,0.010416734218597361
6,5,0.5455362796783444,0.09092271327972407,0.018184542655944783,99.97178760583624,0.010457952817281034
7,5,0.6309494972229001,0.09013564246041429,0.01802712849208283,94.0528106859512,0.010214405400412371
8,5,0.7610795497894283,0.09513494372367853,0.019026988744735678,87.09909682833595,0.01142955571413035
9,5,0.8662097454071039,0.096245527267456,0.019249105453491167,82.70587219306498,0.0113645990689595
10,5,0.9907774925231928,0.09907774925231928,0.01981554985046382,78.44916506371496,0.011791580915451001
11,5,1.1149260997772212,0.10135691816156557,0.020271383632313074,74.97872406435822,0.012355018745769098
12,5,1.2364163398742671,0.10303469498952227,0.020606938997904407,72.1601278370216,0.012747416893641101
13,5,1.3609995841979976,0.10469227570753828,0.020938455141507606,69.6965647678775,0.013647712194002539
14,5,1.4805099964141841,0.10575071402958458,0.02115014280591687,67.70662148671421,0.014080950192042706
15,5,1.6002221107482906,0.10668147404988604,0.021336294809977157,65.97730454450013,0.014641972382863315
16,5,1.7227537631988517,0.10767211019992823,0.021534422039985603,64.40408443749757,0.015036419034004163
17,5,1.8366184234619134,0.10803637785070079,0.021607275570140114,63.19865481055458,0.015586856533499276
18,5,1.8849160671234124,0.10471755928463403,0.020943511856926764,65.43899172328976,0.01504142747984987
19,5,1.9367306232452388,0.10193319069711783,0.020386638139423523,67.07367531644239,0.01454793779473551
20,5,2.0059752464294425,0.10029876232147213,0.020059752464294388,67.33038017725706,0.014204984903335525
21,5,2.071276187896728,0.09863219942365371,0.019726439884730704,67.77029419141674,0.013814946015675813
22,5,2.126262187957763,0.09664828127080739,0.019329656254161443,68.82310978252646,0.01346540180119596
23,5,2.1954686641693106,0.09545515931170916,0.019091031862341793,68.97199952396726,0.013209104537963817
24,5,2.254130840301513,0.09392211834589637,0.018784423669179238,69.64957441025702,0.012835703790187787
25,5,2.31617784500122,0.0926471138000488,0.018529422760009726,70.08695412424498,0.012601120471954297
26,5,2.4107961654663077,0.09272292944101183,0.01854458588820233,69.42375930200866,0.012558485452945365
27,5,2.476020336151122,0.091704456894486,0.01834089137889716,69.6917199929212,0.012354162004258847
28,5,2.5440988540649405,0.09086067335946216,0.018172134671892392,69.82575167524831,0.012167004602295958
29,5,2.6103613376617423,0.09001245991937043,0.018002491983874044,70.0199491876827,0.012038226785330886
30,5,2.683685302734374,0.08945617675781246,0.01789123535156245,69.95896852990721,0.011974209547042798
31,5,2.762803316116332,0.08912268761665587,0.017824537523331137,69.7408319132875,0.011970337360135919
32,5,2.8411717414855944,0.08878661692142482,0.01775732338428493,69.5552185832085,0.01195222884416575
33,5,2.920814752578734,0.08850953795693134,0.01770190759138623,69.3499134050436,0.011914359800743282
34,5,2.9988262653350817,0.08820077250985535,0.01764015450197103,69.19530136360947,0.011850167723262958
35,5,3.1096000671386705,0.08884571620396202,0.017769143240792363,68.5079220746954,0.01197620970862247
36,5,3.2087731361389147,0.08913258711496985,0.017826517422993935,68.00539404715961,0.012079291873507978
37,5,3.3376834392547594,0.0902076605203989,0.018041532104079744,67.21569851194012,0.012216079879451391
38,5,3.423249483108519,0.09008551271338208,0.01801710254267638,66.9846115758352,0.012178192013188361
39,5,3.5173556804656965,0.09018860719142811,0.018037721438285588,66.62940265353667,0.01222730294252048
40,5,3.650826930999754,0.09127067327499386,0.018254134654998734,65.90019885891286,0.012381717562675424
41,5,3.7691440582275373,0.09193034288359847,0.018386068576719657,65.32359178103832,0.012467678000287263
42,5,3.876309394836424,0.09229308082943867,0.0184586161658877,64.87914620682707,0.012541177726927208
43,5,3.980475187301634,0.09256919040236358,0.01851383808047268,64.48661729121277,0.012502738209657843
44,5,4.08815550804138,0.09291262518275864,0.01858252503655169,64.07632462205336,0.012549394910985723
45,5,4.204580783843992,0.09343512852986649,0.018687025705973262,63.606761872788596,0.012552000416649663
46,5,4.305454492568968,0.09359683679497756,0.018719367358995476,63.301548123663096,0.012581610161325155
47,5,4.417052507400511,0.0939798405829896,0.01879596811659788,62.9079761287383,0.012715430969887542
48,5,4.507579088211058,0.09390789767106371,0.018781579534212705,62.74806821862856,0.012749813497066447
49,5,4.5545942783355695,0.09295090363950143,0.018590180727900245,63.63787514226523,0.01255914629722123
50,5,4.602306604385374,0.09204613208770748,0.018409226417541457,64.46101210274192,0.01239124298095698
51,5,4.6563491821289045,0.09130096435546871,0.018260192871093702,65.01118133615532,0.012234217980328678
52,5,4.709181785583494,0.09056118818429797,0.018112237636859554,65.58093806779526,0.012110462555518465
53,5,4.762054204940794,0.08985007933850556,0.01797001586770107,66.12784986367659,0.01195796030872268
54,5,4.818486452102659,0.08923123059449369,0.017846246118898696,66.5440345597451,0.011806149173665879
55,5,4.8920319080352765,0.08894603469155048,0.017789206938310057,66.57023694212053,0.011738504062999328
56,5,4.961402177810666,0.08859646746090476,0.017719293492180915,66.66857175614263,0.011649487274033631
57,5,5.019682645797727,0.08806460782101275,0.017612921564202518,67.00407112654122,0.011569121427703274
58,5,5.082472324371336,0.08762883317881615,0.01752576663576319,67.22177545279689,0.011488948402733588
59,5,5.138776540756223,0.08709790747044445,0.017419581494088857,67.58756393855171,0.01141324184708671
60,5,5.230504035949705,0.08717506726582842,0.017435013453165647,67.36959259059653,0.011441122492154388
61,5,5.322278022766111,0.08725045938960838,0.017450091877921636,67.15831515958992,0.011451228720242809
62,5,5.397272825241085,0.08705278750388848,0.017410557500777663,67.15045986684012,0.011461628060187011
63,5,5.4921176433563215,0.08717647052946542,0.017435294105893045,66.92136832859514,0.01149066856929229
64,5,5.595926046371456,0.087436344474554,0.017487268894910764,66.62831034911862,0.011483021080493875
65,5,5.6832017898559535,0.08743387369009159,0.017486774738018282,66.48463921592544,0.011529333774860038
66,5,5.763897180557247,0.08733177546298859,0.017466355092597686,66.41610540456105,0.011541476755431154
67,5,5.848134994506832,0.0872855969329378,0.017457119386587523,66.31072720925152,0.011573361816690877
68,5,5.946984529495236,0.08745565484551818,0.017491130969103597,66.07942132936047,0.011609161601347033
69,5,6.048755168914792,0.08766311839006945,0.017532623678013847,65.83377875033884,0.011657939440962148
70,5,6.143505096435543,0.08776435852050776,0.017552871704101514,65.64716032413014,0.011685247932161554
71,5,6.2286920547485325,0.08772805710913426,0.017545611421826812,65.54923455126354,0.01170318815070134
72,5,6.32472729682922,0.08784343467818362,0.017568686935636686,65.36194268662611,0.011737073461214652
73,5,6.417119741439816,0.08790574988273721,0.017581149976547403,65.20790209044019,0.011727004018548369
74,5,6.497363567352291,0.08780221036962556,0.017560442073925077,65.16874246514597,0.011721056055378222
75,5,6.583902120590206,0.08778536160786941,0.017557072321573844,65.07019545300145,0.011733156840006462
76,5,6.660864114761349,0.0876429488784388,0.017528589775687723,65.06883934907152,0.011703850407349387
77,5,6.737610578536985,0.0875014360848959,0.01750028721697914,65.06988794901169,0.011699777144890278
78,5,6.8159744739532435,0.08738428812760568,0.0174768576255211,65.0536700712509,0.011693352308028733
79,5,6.870230913162229,0.08696494826787632,0.01739298965357522,65.3967243776352,0.011563298822958208
80,5,6.916927099227902,0.08646158874034877,0.017292317748069712,65.91770439612085,0.011459080874919843
81,5,6.97285437583923,0.0860846219239411,0.017216924384788185,66.20763167934601,0.011395584653924965
82,5,7.03015828132629,0.08573363757714988,0.01714672751542994,66.46429577823986,0.011336509774370843
83,5,7.079298019409176,0.0852927472217973,0.017058549444359423,66.88943250480236,0.011265319513987298
84,5,7.147264957427975,0.08508648758842827,0.017017297517685617,66.96890568411912,0.01125364715144743
85,5,7.218425750732418,0.08492265589096963,0.016984531178193884,67.00766455910552,0.01121857096167167
86,5,7.287542343139645,0.08473886445511215,0.01694777289102239,67.0696862430235,0.011205014101294535
87,5,7.368559837341305,0.08469609008438282,0.016939218016876527,67.00813888365148,0.011206910527985624
88,5,7.428021907806393,0.08440933986143628,0.016881867972287218,67.20221931249817,0.011167482218959066
89,5,7.494613409042355,0.0842091394274422,0.016841827885488398,67.29078602312453,0.011156003796652412
90,5,7.564100503921505,0.0840455611546834,0.01680911223093664,67.34261959143471,0.011140735944112093
91,5,7.658223152160641,0.08415629837539165,0.01683125967507829,67.18635099392597,0.011147854747352968
